EP121999,               GREG,     19,
19990905, 1200,  , TD, 18.6N, 105.1W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990905, 1800,  , TS, 19.2N, 105.4W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990906, 0000,  , TS, 19.9N, 106.0W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990906, 0600,  , TS, 20.6N, 106.7W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990906, 1200,  , TS, 21.2N, 107.6W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990906, 1800,  , HU, 21.5N, 108.4W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990907, 0000,  , HU, 21.9N, 109.0W,  65,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990907, 0600,  , HU, 22.2N, 109.5W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990907, 1200,  , HU, 22.5N, 109.5W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990907, 1800,  , TS, 22.8N, 109.7W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990907, 2100, L, TS, 22.9N, 110.0W,  50,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990908, 0000,  , TS, 23.1N, 110.3W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990908, 0600,  , TS, 23.1N, 110.8W,  40, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990908, 1200,  , TS, 23.0N, 111.1W,  35, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990908, 1800,  , TD, 23.0N, 111.3W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990909, 0000,  , TD, 23.2N, 111.5W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990909, 0600,  , TD, 23.2N, 111.8W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990909, 1200,  , TD, 23.2N, 112.0W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19990909, 1800,  , TD, 23.2N, 112.3W,  20, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
